,Unnamed: 0,列1,refcode,Melting point_original,smiles,MP[K],MP[℃],note
0,2,2,AACMHX10,327-328 K,CC(=O)OC(=C1CCCCC1c1ccccc1)c1ccccc1,327.5,54.5,
1,4,4,AAMAND,384-386 K,COC1CCC2(C)C(CCC3C2CCC2(C)C3CC2C(C)=O)C1,385.0,112.0,
2,47,47,ABDSCE,427-428 K,CC(C)CCCC(C)C1CCC2C3CCC(=O)CC4CC4C(=C)C3CCC12C,427.5,154.5,
3,49,49,ABECAL,482-484K,c1ccc(cc1)c1ccc(cc1)c1cc2cc3cccc4cccc(c2c1)c34,483.0,210.0,
4,58,58,ABEGIY,388-390 K,O=C1OC(=CC=C1)C=Cc1ccccc1,389.0,116.0,
5,76,76,ABEKOH,142-146deg.C,CCC1C(CC)c2ccccc2C(=C2CCCc3ccc4ccccc4c23)c2ccccc12,417.15,144.15,
6,93,93,ABEPUS,69-71deg.C,CC1=CCC(C)(C)C2OC2CC2(C)OC2CC1,343.15,70.15,
7,99,99,ABEQAZ,66-69deg.C,CC1=CCCC2(C)OC2CC(C)(C)C2OC2C1,340.65,67.65,
8,107,107,ABEWAG,130 K,COC,130.0,-143.0,
9,128,128,ABIKIF,479-480 K,OCC12OC(C(C1c1ccc(O)cc1)C(O)=O)C(=O)C=C2,479.5,206.5,
10,135,135,ABINOO,543 K,CC1(C)OC(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C4C3=CC(=O)C3OC123)C1=COC=C1,543.0,270.0,
11,137,137,ABINUU,497 K,COC(=O)C1(O)C(=O)C2(C)C(CCC1(C)C(=O)C1=COC=C1)C1(C)OC(=O)CC31C2CC(=O)OC3(C)C,497.0,224.0,
12,141,141,ABIPUW,388 K,CCCCC1OC(=O)C(=C1O)C(C)C(O)c1ccccc1,388.0,115.0,
13,155,155,ABIWOA,470.7-471.5 K,COC(=O)C12CCC3C(COC3=O)C1(O)C(O)CC2C,471.1,198.1,
14,162,162,ABIXUH,397.9-398.6 K,COC(=O)C12CCC3=C(COC3=O)C1=CCC2C,398.25,125.25,
15,164,164,ABIYES,402.5-402.7 K,COC(=O)C12CCC3=C(COC3=O)C1(O)CCC2C,402.6,129.6,
16,165,165,ABIYIW,467-467.3 K,CC1CCC23OC(=O)C(O)C12CCC1=C3COC1=O,467.15,194.15,
17,177,177,ABOCIG,495-496 K,CC1(CC(=O)OC1(c1ccccc1)c1ccccc1)c1ccccc1O,495.5,222.5,
18,178,178,ABOCOM,534-535 K,OC(=O)CC1c2ccccc2OC21c1ccccc1CCc1ccccc21,534.5,261.5,
19,179,179,ABOCUS,514-516 K,OC(=O)CC1c2ccccc2OC21c1ccccc1C=Cc1ccccc21,515.0,242.0,
20,187,187,ABOFEF,485-487 K,O=C1Oc2ccccc2C(=C1)C1c2ccccc2CCc2ccccc12,486.0,213.0,
21,189,189,ABOFIJ,488-490 K,O=C1Oc2ccccc2C(=C1)C1c2ccccc2C=Cc2ccccc12,489.0,216.0,
22,191,191,ABOFOP,519-521 K,O=C1Oc2ccccc2C(=C1)C1c2ccccc2Oc2ccccc12,520.0,247.0,
23,193,193,ABOFUV,449-451 K,CC1=C(C(c2ccccc2)c2ccccc2)c2ccccc2OC1=O,450.0,177.0,
24,195,195,ABOGOO,376-377 K,O=C1C2C3C=CCC3C(C3=C2CCC3)C21CO2,376.5,103.5,
25,196,196,ABOGUU,472-475 K,CC(C)CC1c2c(O)c3C(=O)CC(Oc3c(C)c2OC2=C1C(=O)C(C)(C)C(=O)C2(C)C)c1ccccc1,473.5,200.5,
26,197,197,ABOHEF,71-72 deg.C,COC(=O)C(C)=Cc1ccc2OCOc2c1,344.65,71.65,
27,205,205,ABOPIQ,58deg.C,COc1cccc(CC(=O)C(C)(C)C)c1,331.15,58.15,
28,206,206,ABOPOW,312.5 K,COc1ccc(CC(=O)C(C)(C)C)cc1,312.5,39.5,
29,217,217,ABOSAM,536-537 K,CC1CC2(OC3CC4C5CCC6CC(CC6(C)C5C(O)CC4(C)C3C2(C)O)C(O)=O)OC1(C)C,536.5,263.5,
30,257,257,ABTSPN,492-494 K,COC1CCC23CC42CCC2(C)C(C)(CCC52OC2(CC(C)C(=O)O2)CC5C)C4CCC3C1(C)C,493.0,220.0,
31,260,260,ABUCOP,388 K,Oc1ccc(cc1)C1(c2ccc(O)cc2)c2ccccc2c2ccccc12,388.0,115.0,
32,265,265,ABUGOW,544-546 K,CC(C)(O)C=C1OC(=O)C(=C1)C1CCC23CC12CCC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C31C,545.0,272.0,
33,278,278,ABUKIR,429-430 K,CC(=O)OC1CCC(C)(C)C2CCC3=C(C(OC(C)=O)OC3=O)C12C,429.5,156.5,
34,290,290,ABULUE,451.5-453.7K,COC(=O)C1=CC(=CC2=C(C)C=C(C)C=C(C)C2=C1C(=O)OC)c1c(C)c(C)c(C)c(C)c1C,452.6,179.6,
35,291,291,ABUMAL,514.3-516.3K,COC(=O)c1c(C)c2c(C)c(C)c(C)c3C=C(c4c(C)c(C)c(C)c(C)c4C)c(c1C(=O)OC)c23,515.3,242.3,
36,292,292,ABUMEP,181.2-183.5deg.C,COC(=O)C1=CC(=CC2=C(C)C(=C(C)C(=C(C)C2=C1C(=O)OC)C)C)c1c(C)c(C)c(C)c(C)c1C,455.5,182.5,
37,311,311,ABUWOM,511.8-511.9 K,CC1(C)C2CC1C(=O)C(C2)=Cc1ccccc1O,511.85,238.85,
38,314,314,ACABUC,465 K,CC(=O)OCC12CCC(C1C1CCC3C4(C)CCC(OC(C)=O)C(C)(C)C4CCC3(C)C1(C)CC2)C1(C)CO1,465.0,192.0,
39,323,323,ACAGIW,354.9 K,CCOC(=O)CCC1CC2(OCCO2)C(CC1=O)C(C(=O)OC)C(=O)OC,354.9,81.9,
